# s_m, x_m, y_m, vx_mps
4.9786267,10.5388608,3.6167694,5.0
5.0086185,10.5620245,3.6358206,5.0
5.0386102,10.5852128,3.6548419,5.0
5.0686019,10.6084259,3.6738328,5.0
5.0985936,10.6316641,3.6927931,5.0
5.1285854,10.6549273,3.7117226,5.0
5.1585771,10.6782159,3.7306209,5.0
5.1885688,10.7015299,3.7494879,5.0
5.2185605,10.7248695,3.7683231,5.0
5.2485523,10.7482348,3.7871265,5.0
5.278544,10.771626,3.8058976,5.0
5.3085357,10.7950433,3.8246363,5.0
5.3385275,10.8184867,3.8433422,5.0
5.3685192,10.8419564,3.862015,5.0
5.3985109,10.8654526,3.8806546,5.0
5.4285026,10.8889754,3.8992606,5.0
5.4584944,10.912525,3.9178327,5.0
5.4884861,10.9361014,3.9363707,5.0
5.5184778,10.9597048,3.9548743,5.0
5.5484695,10.9833354,3.9733432,5.0
5.5784613,11.0069932,3.9917771,5.0
5.608453,11.0306785,4.0101758,5.0
5.6384447,11.0543913,4.028539,5.0
5.6684365,11.0781318,4.0468663,5.0
5.6984282,11.1019001,4.0651576,5.0
5.7284199,11.1256964,4.0834125,5.0
5.7584116,11.1495207,4.1016308,5.0
5.7884034,11.1733732,4.1198122,5.0
5.8183951,11.1972541,4.1379563,5.0
5.8483868,11.2211634,4.1560629,5.0
5.8783785,11.2451012,4.1741318,5.0
5.9083703,11.2690678,4.1921625,5.0
5.938362,11.2930631,4.210155,5.0
5.9683537,11.3170874,4.2281087,5.0
5.9983455,11.3411407,4.2460236,5.0
6.0283372,11.3652232,4.2638992,5.0
6.0583289,11.3893349,4.2817353,5.0
6.0883206,11.413476,4.2995317,5.0
6.1183124,11.4376467,4.3172879,5.0
6.1483041,11.4618469,4.3350037,5.0
6.1782958,11.4860769,4.3526789,5.0
6.2082875,11.5103367,4.3703131,5.0
6.2382793,11.5346265,4.3879061,5.0
6.268271,11.5589463,4.4054575,5.0
6.2982627,11.5832962,4.422967,5.0
6.3282545,11.6076764,4.4404344,5.0
6.3582462,11.6320869,4.4578594,5.0
6.3882379,11.6565279,4.4752416,5.0
6.4182296,11.6809995,4.4925808,5.0
6.4482214,11.7055016,4.5098766,5.0
6.4782131,11.7300346,4.5271288,5.0
6.5082048,11.7545984,4.544337,5.0
6.5381965,11.7791931,4.561501,5.0
6.5681883,11.8038188,4.5786205,5.0
6.59818,11.8284757,4.5956951,5.0
6.6281717,11.8531638,4.6127246,5.0
6.6581635,11.8778832,4.6297086,5.0
6.6881552,11.9026339,4.6466468,5.0
6.7181469,11.9274161,4.663539,5.0
6.7481386,11.9522299,4.6803847,5.0
6.7781304,11.9770753,4.6971838,5.0
6.8081221,12.0019524,4.7139359,5.0
6.8381138,12.0268613,4.7306407,5.0
6.8681056,12.0518021,4.7472978,5.0
6.8980973,12.0767749,4.763907,5.0
6.928089,12.1017796,4.780468,5.0
6.9580807,12.1268165,4.7969804,5.0
6.9880725,12.1518855,4.8134439,5.0
7.0180642,12.1769868,4.8298582,5.0
7.0480559,12.2021203,4.846223,5.0
7.0780476,12.2272863,4.862538,5.0
7.1080394,12.2524847,4.8788028,5.0
