# s_m, x_m, y_m, vx_mps
310.8540655,305.5082737,190.0526929,14.072837
311.8535963,304.5169632,190.180599,14.1855094
312.8531271,303.5249806,190.3031884,14.2965063
313.8526578,302.5323511,190.4204312,14.4058779
314.8521886,301.5391,190.5322916,14.5136721
315.8517193,300.5452529,190.6387342,14.6199347
316.8512501,299.5508363,190.7397243,14.7247092
317.8507808,298.5558771,190.8352276,14.8280371
318.8503116,297.5604029,190.9252108,14.9299582
319.8498424,296.5644417,191.0096412,15.0305105
320.8493731,295.5680223,191.0884872,15.1297303
321.8489039,294.5711739,191.1617178,15.2276524
322.8484346,293.5739265,191.2293032,15.3243102
323.8479654,292.5763102,191.2912145,15.4197355
324.8474961,291.5783564,191.3474236,15.5139591
325.8470269,290.5800958,191.3979034,15.6070105
326.8465577,289.5815583,191.4426282,15.6989179
327.8460884,288.5828005,191.4815567,15.7897086
328.8456192,287.58385,191.51462,15.8794087
329.8451499,286.5846983,191.54182,15.9680435
330.8446807,285.5853942,191.5632334,16.0556373
331.8442114,284.5859891,191.5789323,16.1422134
332.8437422,283.5865095,191.5889861,16.2277944
333.843273,282.5869899,191.5934405,16.312402
334.8428037,281.5874609,191.5923167,16.3960573
335.8423345,280.5879538,191.5856296,16.4787805
336.8418652,279.5884992,191.5733942,16.5605912
337.841396,278.5891278,191.555625,16.6415084
338.8409267,277.5898699,191.5323368,16.7215503
339.8404575,276.5907555,191.5035442,16.8007348
340.8399883,275.5918146,191.4692617,16.8790789
341.839519,274.5930766,191.4295037,16.9565992
342.8390498,273.5945711,191.3842844,17.0333118
343.8385805,272.5963273,191.3336179,17.1092324
344.8381113,271.5983742,191.2775179,17.184376
345.837642,270.6007406,191.215998,17.2587572
346.8371728,269.6034551,191.1490717,17.3323902
347.8367036,268.6065464,191.0767518,17.405289
348.8362343,267.6100427,190.9990512,17.4774668
349.8357651,266.6139722,190.9159821,17.5489366
350.8352958,265.618363,190.8275564,17.6197111
351.8348266,264.6232431,190.7337858,17.6898026
352.8343573,263.6286402,190.6346811,17.759223
353.8338881,262.6345822,190.5302531,17.8279838
354.8334189,261.6410968,190.4205116,17.8960965
355.8329496,260.6482116,190.3054662,17.9635718
356.8324804,259.6559543,190.1851257,18.0304207
357.8320111,258.6643525,190.0594984,18.0966533
358.8315419,257.6734337,189.9285916,18.16228
359.8310726,256.6832258,189.7924124,18.2273105
360.8306034,255.6937563,189.6509667,18.2917544
361.8301342,254.705053,189.5042597,18.3556212
362.8296649,253.717144,189.352296,18.41892
363.8291957,252.7300572,189.1950791,18.4816596
364.8287264,251.7438208,189.0326116,18.5438488
