 x_m, y_m, vx_mps
-6.2775974,-8.1195316,4.0593074
-6.3335774,-8.0980583,4.0766418
-6.389564,-8.0765996,4.0937996
-6.445557,-8.0551554,4.1107835
-6.5015561,-8.0337254,4.1275963
-6.5575608,-8.0123093,4.1442408
-6.6135704,-7.990906,4.1607194
-6.6695838,-7.9695136,4.1770348
-6.7256,-7.94813,4.1931895
-6.7816179,-7.9267535,4.2091859
-6.8376366,-7.9053821,4.2250263
-6.8936582,-7.8840133,4.2407132
-6.9496811,-7.8626457,4.2562487
-7.0057047,-7.8412785,4.271635
-7.0617283,-7.8199108,4.2868744
-7.1177513,-7.7985421,4.3019689
-7.1737736,-7.7771723,4.3169206
-7.2297948,-7.7558014,4.3317315
-7.2858146,-7.7344285,4.3464035
-7.3418321,-7.7130522,4.3609387
-7.3978469,-7.6916711,4.3753389
-7.4538585,-7.6702842,4.3896059
-7.5098666,-7.6488906,4.4037416
-7.5658705,-7.6274885,4.3967577
-7.62187,-7.6060764,4.3172807
-7.6778661,-7.584653,4.2367737
-7.7338648,-7.5632159,4.1551191
-7.7898589,-7.5417688,4.0721989
-7.8458489,-7.5203128,3.9878917
-7.9018354,-7.4988501,3.9020725
-7.9578196,-7.4773835,3.814613
-8.0138024,-7.4559153,3.7259706
-8.0697812,-7.4344384,3.6383366
-8.1257414,-7.412914,3.5528004
-8.1816595,-7.3912812,3.4696981
-8.2375077,-7.3694686,3.3905072
-8.293247,-7.347379,3.3162152
-8.3488283,-7.3248949,3.2466719
-8.4041993,-7.3018979,3.1814904
-8.4593054,-7.2782737,3.1203254
-8.5140897,-7.253913,3.0628716
-8.5684918,-7.2287109,3.0088634
-8.6224478,-7.2025678,2.9580744
-8.6758892,-7.175389,2.9103184
-8.7287429,-7.1470849,2.8654501
-8.7809305,-7.1175712,2.8233667
-8.8323675,-7.0867688,2.784013
-8.8829635,-7.054604,2.7473803
-8.9326206,-7.0210089,2.7135225
-8.9812349,-6.9859202,2.6825173
-9.0286952,-6.9492805,2.6543798
-9.0748802,-6.9110442,2.6288819
-9.1196663,-6.8711801,2.6057012
-9.1629314,-6.8296708,2.5845304
-9.204554,-6.7865149,2.5650441
-9.2444146,-6.7417266,2.546918
-9.2823976,-6.6953348,2.5298307
-9.3183916,-6.6473825,2.513474
-9.3522908,-6.5979258,2.4975615
-9.3839951,-6.5470324,2.4818395
-9.4134103,-6.4947806,2.4660968
-9.4404479,-6.441258,2.4502594
-9.4650244,-6.3865605,2.434256
-9.4870603,-6.3307915,2.4179956
-9.5064787,-6.2740618,2.4014561
-9.5232042,-6.2164899,2.3847969
-9.537161,-6.158202,2.3684388
-9.5482711,-6.0993328,2.3528937
-9.556459,-6.0399576,2.3389576
-9.5616259,-5.980162,2.3279456
-9.5636404,-5.9202233,2.3209979
-9.5623917,-5.8603242,2.3140294
-9.5579374,-5.8006061,2.3088385
-9.5506356,-5.7410473,2.3191946
-9.5410195,-5.681905,2.3479897
-9.5295597,-5.6230976,2.3916168
-9.5166338,-5.564625,2.4342075
-9.5024293,-5.5063973,2.4758168
-9.4869586,-5.4484011,2.5164949
-9.4701797,-5.3910248,2.5562877
-9.4516856,-5.3340533,2.5882346
-9.4311944,-5.2777034,2.5855968
-9.4085379,-5.2221695,2.5693414
-9.3836151,-5.1676159,2.5565654
-9.3563751,-5.11419,2.54615
-9.3268004,-5.0620264,2.5372932
-9.2949,-5.011253,2.5293667
-9.2607045,-4.9619923,2.5218179
-9.2242637,-4.9143611,2.5142464
-9.1856438,-4.8684685,2.5068656
-9.1449267,-4.8244144,2.5001467
-9.1022072,-4.7822868,2.4944973
-9.0576288,-4.7421923,2.4902734
-9.011311,-4.7041845,2.4878808
-8.9633295,-4.668265,2.4876926
-8.9138117,-4.6344621,2.4899073
-8.8628882,-4.6027875,2.4946796
-8.8106919,-4.5732367,2.5021242
-8.7573597,-4.5457918,2.5123219
-8.703056,-4.5204315,2.5253417
-8.6478383,-4.4970736,2.5414059
-8.591825,-4.475658,2.560498
-8.5351297,-4.4561132,2.5826047
-8.4778611,-4.4383571,2.6077271
-8.420098,-4.4222911,2.6358923
-8.3618897,-4.4078041,2.6672354
-8.3033326,-4.3947916,2.7019263
-8.244502,-4.3831352,2.7379671
-8.1854647,-4.3727068,2.7733278
-8.1262769,-4.3633666,2.8080351
-8.0669326,-4.3549563,2.8421144
-8.0074043,-4.3473049,2.8755891
-7.947816,-4.3402438,2.9084813
