 x_m, y_m, vx_mps
-4.4327219,9.0667362,3.0591105
-4.4326895,9.0367435,3.074095
-4.4326579,9.0067507,3.0889623
-4.4326271,8.976758,3.103714
-4.4325972,8.9467653,3.1183521
-4.4325682,8.9167725,3.1328781
-4.4325402,8.8867798,3.1472939
-4.4325132,8.8567871,3.1616009
-4.4324873,8.8267943,3.1758009
-4.4324624,8.7968016,3.1898954
-4.4324386,8.7668089,3.2038859
-4.432416,8.7368161,3.2177739
-4.4323946,8.7068234,3.2315608
-4.4323743,8.6768307,3.245248
-4.4323552,8.6468379,3.258837
-4.4323373,8.6168452,3.272329
-4.4323206,8.5868525,3.2857254
-4.4323052,8.5568597,3.2990275
-4.432291,8.526867,3.3122365
-4.4322781,8.4968743,3.3253536
-4.4322663,8.4668815,3.3383801
-4.4322558,8.4368888,3.3513171
-4.4322466,8.4068961,3.3641658
-4.4322386,8.3769034,3.3769273
-4.4322318,8.3469106,3.3896027
-4.4322262,8.3169179,3.4021931
-4.4322218,8.2869252,3.4146994
-4.4322185,8.2569325,3.4271229
-4.4322165,8.2269397,3.4394644
-4.4322156,8.196947,3.451725
-4.4322158,8.1669543,3.4639055
-4.4322171,8.1369616,3.4760071
-4.4322195,8.1069688,3.4880306
-4.432223,8.0769761,3.4999769
-4.4322275,8.0469834,3.5118469
-4.432233,8.0169907,3.5236415
-4.4322396,7.986998,3.5353615
-4.432247,7.9570052,3.5470079
-4.4322554,7.9270125,3.5585813
-4.4322647,7.8970198,3.5700828
-4.4322749,7.8670271,3.5815129
-4.4322859,7.8370344,3.5928726
-4.4322977,7.8070416,3.6041625
-4.4323103,7.7770489,3.6153835
-4.4323237,7.7470562,3.6265363
-4.4323377,7.7170635,3.6376216
-4.4323524,7.6870707,3.6486401
-4.4323678,7.657078,3.6595925
-4.4323838,7.6270853,3.6704796
-4.4324003,7.5970926,3.6813019
-4.4324174,7.5670998,3.6920602
-4.432435,7.5371071,3.7027551
-4.4324531,7.5071144,3.7133873
-4.4324716,7.4771217,3.7239574
-4.4324905,7.4471289,3.734466
-4.4325098,7.4171362,3.7449137
-4.4325294,7.3871435,3.7553011
-4.4325493,7.3571507,3.7656289
-4.4325695,7.327158,3.7758976
-4.4325899,7.2971653,3.7861077
-4.4326105,7.2671725,3.7962599
-4.4326313,7.2371798,3.8063547
-4.4326522,7.2071871,3.8163926
-4.4326732,7.1771943,3.8263742
-4.4326943,7.1472016,3.8363
-4.4327154,7.1172089,3.8461705
-4.4327365,7.0872161,3.8559863
-4.4327577,7.0572234,3.8657478
-4.4327787,7.0272307,3.8754556
-4.4327997,6.9972379,3.8851101
-4.4328206,6.9672452,3.8947118
-4.4328414,6.9372524,3.9042613
-4.432862,6.9072597,3.9137588
-4.4328824,6.877267,3.923205
-4.4329026,6.8472742,3.9326003
-4.4329226,6.8172815,3.9419452
-4.4329423,6.7872887,3.9512399
-4.4329618,6.757296,3.9604851
-4.4329809,6.7273033,3.9696812
-4.4329998,6.6973105,3.9788285
-4.4330183,6.6673178,3.9879274
-4.4330364,6.637325,3.9969785
-4.4330542,6.6073323,4.005982
-4.4330715,6.5773395,4.0149385
-4.4330885,6.5473468,4.0238482
-4.433105,6.517354,4.0327117
-4.4331211,6.4873613,4.0415291
-4.4331368,6.4573685,4.0503011
-4.433152,6.4273758,4.0590278
-4.4331667,6.397383,4.0677098
-4.4331809,6.3673903,4.0763473
-4.4331946,6.3373975,4.0849407
-4.4332079,6.3074048,4.0934903
-4.4332206,6.277412,4.1019966
-4.4332328,6.2474193,4.1104599
-4.4332445,6.2174265,4.1188804
-4.4332557,6.1874338,4.1272586
-4.4332663,6.157441,4.1355948
-4.4332765,6.1274482,4.1438893
-4.4332861,6.0974555,4.1521424
-4.4332951,6.0674627,4.1603544
-4.4333037,6.03747,4.1685257
