# x_m,y_m,w_tr_right_m,w_tr_left_m
11.745483870967742,4.796451612903225,0.22,0.22
11.771935483870967,4.814838709677419,0.22,0.22
11.798387096774194,4.833225806451614,0.22,0.22
11.82516129032258,4.8512903225806445,0.22,0.22
11.851612903225806,4.869677419354839,0.22,0.22
11.878387096774194,4.887741935483871,0.22,0.22
11.90483870967742,4.905806451612904,0.22,0.22
11.931612903225806,4.923870967741936,0.22,0.22
11.958387096774192,4.941935483870967,0.22,0.22
11.985161290322582,4.959677419354839,0.22,0.22
12.011935483870968,4.97741935483871,0.22,0.22
12.039032258064516,4.995483870967743,0.22,0.22
12.065806451612904,5.013225806451612,0.22,0.22
12.09290322580645,5.030645161290322,0.22,0.22
12.12,5.048387096774194,0.22,0.22
12.146774193548389,5.065806451612903,0.22,0.22
12.173870967741935,5.083225806451614,0.22,0.22
12.201290322580643,5.1006451612903225,0.22,0.22
12.228387096774194,5.118064516129032,0.22,0.22
12.255483870967742,5.135483870967741,0.22,0.22
12.282903225806452,5.15258064516129,0.22,0.22
12.31,5.169677419354838,0.22,0.22
12.337419354838708,5.186774193548387,0.22,0.22
12.36483870967742,5.203870967741936,0.22,0.22
12.39225806451613,5.220645161290323,0.22,0.22
12.41967741935484,5.237419354838711,0.22,0.22
12.44741935483871,5.2541935483870965,0.22,0.22
12.47483870967742,5.270967741935484,0.22,0.22
12.50258064516129,5.28774193548387,0.22,0.22
12.53,5.304193548387097,0.22,0.22
12.557741935483872,5.320967741935483,0.22,0.22
12.58548387096774,5.33741935483871,0.22,0.22
12.613225806451611,5.353870967741935,0.22,0.22
12.640967741935484,5.37,0.22,0.22
12.668709677419356,5.386451612903225,0.22,0.22
12.696451612903225,5.40258064516129,0.22,0.22
12.724193548387095,5.419032258064516,0.22,0.22
12.752258064516129,5.435161290322581,0.22,0.22
12.78,5.451290322580645,0.22,0.22
12.808064516129033,5.46741935483871,0.22,0.22
12.835806451612903,5.483225806451612,0.22,0.22
12.863870967741937,5.499354838709677,0.22,0.22
12.891935483870968,5.515483870967741,0.22,0.22
12.92,5.531290322580645,0.22,0.22
12.94774193548387,5.547096774193549,0.22,0.22
12.975806451612904,5.563225806451613,0.22,0.22
13.003870967741936,5.579032258064516,0.22,0.22
13.031935483870967,5.594838709677419,0.22,0.22
13.06,5.610645161290323,0.22,0.22
13.088064516129032,5.626451612903225,0.22,0.22
13.116451612903226,5.642258064516129,0.22,0.22
13.144516129032258,5.658064516129032,0.22,0.22
13.172580645161291,5.673870967741936,0.22,0.22
13.200645161290325,5.6893548387096775,0.22,0.22
13.228709677419356,5.7051612903225815,0.22,0.22
13.257096774193547,5.720967741935484,0.22,0.22
13.28516129032258,5.736774193548388,0.22,0.22
13.313548387096777,5.752258064516129,0.22,0.22
13.341612903225805,5.768064516129033,0.22,0.22
13.369677419354838,5.783870967741936,0.22,0.22
13.39806451612903,5.799354838709678,0.22,0.22
13.426129032258064,5.815161290322581,0.22,0.22
13.454516129032257,5.830967741935484,0.22,0.22
13.48258064516129,5.846451612903226,0.22,0.22
13.510967741935485,5.862258064516129,0.22,0.22
13.539032258064516,5.877741935483871,0.22,0.22
13.567419354838709,5.893548387096774,0.22,0.22
13.595483870967742,5.909354838709677,0.22,0.22
13.623870967741937,5.924838709677419,0.22,0.22
13.652258064516127,5.940645161290322,0.22,0.22
13.68032258064516,5.956129032258064,0.22,0.22
13.708709677419357,5.971935483870968,0.22,0.22
13.736774193548388,5.987419354838711,0.22,0.22
13.76516129032258,6.003225806451613,0.22,0.22
13.793225806451613,6.018709677419356,0.22,0.22
13.821612903225809,6.034516129032258,0.22,0.22
13.84967741935484,6.050000000000001,0.22,0.22
13.878064516129031,6.065806451612903,0.22,0.22
13.906129032258065,6.081612903225807,0.22,0.22
13.93451612903226,6.097096774193548,0.22,0.22
13.962580645161289,6.112580645161291,0.22,0.22
13.990967741935483,6.128387096774193,0.22,0.22
14.019354838709678,6.143870967741936,0.22,0.22
14.047419354838713,6.159677419354838,0.22,0.22
14.075806451612904,6.175161290322581,0.22,0.22
14.103870967741935,6.190967741935483,0.22,0.22
14.13225806451613,6.206451612903226,0.22,0.22
14.160322580645165,6.2222580645161285,0.22,0.22
14.188387096774193,6.237741935483872,0.22,0.22
14.216774193548387,6.253225806451613,0.22,0.22
14.24483870967742,6.269032258064517,0.22,0.22
14.273225806451611,6.284516129032258,0.22,0.22
14.301290322580645,6.300000000000001,0.22,0.22
14.32967741935484,6.315806451612903,0.22,0.22
14.35774193548387,6.331290322580646,0.22,0.22
14.376774193548387,6.341612903225807,0.22,0.22
14.39548387096774,6.352258064516128,0.22,0.22
14.414193548387097,6.362580645161291,0.22,0.22
14.442580645161293,6.378064516129032,0.22,0.22
14.470645161290324,6.393870967741936,0.22,0.22
14.499032258064515,6.409354838709677,0.22,0.22
14.527096774193549,6.424838709677419,0.22,0.22
14.55516129032258,6.440645161290322,0.22,0.22
14.583548387096773,6.456129032258064,0.22,0.22
14.611612903225806,6.471612903225807,0.22,0.22
14.639677419354838,6.487419354838711,0.22,0.22
14.667741935483871,6.502903225806452,0.22,0.22
14.695806451612905,6.518709677419356,0.22,0.22
14.723870967741936,6.534516129032258,0.22,0.22
14.751935483870968,6.550000000000001,0.22,0.22
14.78032258064516,6.565806451612903,0.22,0.22
14.808064516129033,6.581612903225807,0.22,0.22
14.836129032258064,6.59741935483871,0.22,0.22
14.864193548387098,6.613225806451613,0.22,0.22
14.89225806451613,6.629032258064516,0.22,0.22
14.92032258064516,6.64483870967742,0.22,0.22
14.948387096774193,6.660645161290322,0.22,0.22
14.976129032258063,6.676451612903226,0.22,0.22
15.004193548387097,6.69258064516129,0.22,0.22
15.031935483870967,6.708387096774194,0.22,0.22
15.06,6.724516129032258,0.22,0.22
15.087741935483873,6.740645161290323,0.22,0.22
15.115806451612904,6.756774193548387,0.22,0.22
15.143548387096772,6.772903225806452,0.22,0.22
15.171290322580646,6.789354838709677,0.22,0.22
15.199032258064516,6.805483870967742,0.22,0.22
15.226774193548389,6.821935483870967,0.22,0.22
15.254516129032258,6.838387096774194,0.22,0.22
15.28225806451613,6.854838709677419,0.22,0.22
15.30967741935484,6.871290322580645,0.22,0.22
15.337419354838708,6.888064516129032,0.22,0.22
15.36516129032258,6.904516129032258,0.22,0.22
15.39258064516129,6.921290322580645,0.22,0.22
15.42,6.938064516129033,0.22,0.22
15.44774193548387,6.95483870967742,0.22,0.22
15.475161290322582,6.971935483870968,0.22,0.22
15.50258064516129,6.989032258064516,0.22,0.22
15.53,7.005806451612903,0.22,0.22
15.557096774193548,7.022903225806452,0.22,0.22
15.584516129032258,7.040322580645161,0.22,0.22
15.611935483870967,7.05741935483871,0.22,0.22
15.639032258064516,7.074838709677419,0.22,0.22
15.666129032258064,7.091935483870968,0.22,0.22
15.693548387096774,7.1093548387096765,0.22,0.22
15.720645161290324,7.126774193548387,0.22,0.22
15.747741935483871,7.144516129032258,0.22,0.22
15.774838709677418,7.161935483870968,0.22,0.22
15.801935483870968,7.179677419354839,0.22,0.22
15.829032258064515,7.1970967741935485,0.22,0.22
15.855806451612905,7.214838709677419,0.22,0.22
15.882903225806452,7.23258064516129,0.22,0.22
15.90967741935484,7.250322580645161,0.22,0.22
15.936774193548388,7.268064516129033,0.22,0.22
15.963548387096774,7.285806451612903,0.22,0.22
15.990645161290322,7.303870967741935,0.22,0.22
16.01741935483871,7.321612903225806,0.22,0.22
16.044193548387096,7.339677419354839,0.22,0.22
16.070967741935483,7.357741935483871,0.22,0.22
16.09774193548387,7.375483870967741,0.22,0.22
16.12451612903226,7.393548387096774,0.22,0.22
16.151290322580646,7.411612903225806,0.22,0.22
16.17806451612903,7.429677419354839,0.22,0.22
16.204516129032257,7.4477419354838705,0.22,0.22
16.231290322580644,7.465806451612903,0.22,0.22
16.258064516129032,7.484193548387096,0.22,0.22
16.28451612903226,7.502258064516129,0.22,0.22
16.31096774193548,7.520645161290322,0.22,0.22
16.337741935483873,7.538709677419354,0.22,0.22
16.364193548387096,7.557096774193549,0.22,0.22
16.390645161290323,7.575483870967742,0.22,0.22
16.41709677419355,7.593870967741935,0.22,0.22
16.443225806451615,7.612258064516129,0.22,0.22
16.469677419354838,7.630645161290323,0.22,0.22
16.495806451612903,7.649032258064516,0.22,0.22
16.521935483870966,7.66774193548387,0.22,0.22
16.54806451612903,7.686451612903226,0.22,0.22
16.573870967741936,7.705161290322581,0.22,0.22
16.59967741935484,7.724193548387096,0.22,0.22
16.62548387096774,7.743225806451613,0.22,0.22
16.65096774193548,7.762258064516128,0.22,0.22
16.676451612903225,7.781290322580645,0.22,0.22
16.701612903225808,7.800967741935485,0.22,0.22
16.726451612903226,7.820322580645161,0.22,0.22
16.751290322580644,7.84,0.22,0.22
16.77548387096774,7.86,0.22,0.22
16.799677419354836,7.88,0.22,0.22
